ley_a,ley_a_nombre,ley_a_corta,ley_b,ley_b_nombre,ley_b_corta,sector_a,sector_b,mismo_sector,citas_a_a_b,citas_b_a_a,textos_a_cita_b,textos_b_cita_a
ley-federal-de-austeridad-republicana,LEY Federal de Austeridad Republicana,LFAR,ley-general-de-responsabilidades-administrativas,LEY General de Responsabilidades Administrativas,LGRA,fiscal,anticorrupcion,False,5,1,"[Art.24 · high · establecida_en] os con la materia o afecten de manera directa el ejercicio de sus responsabilidades públicas, y que signifiquen un conflicto de interés conforme a lo establecido en la Ley General de Responsabilidades Administrativas.  [Los servidores públicos comprendidos en los grupos jerárquicos de mando superior ||| [Art.2 · medium · direct_mention] icas y Servicios Relacionados con las Mismas, la Ley Orgánica de la Administración Pública Federal, la Ley Federal de Procedimiento Administrativo, y la Ley General de Responsabilidades Administrativas, en ese orden. ||| [Art.18 · medium · direct_mention] as, de conformidad con la Ley General de Transparencia y Acceso a la Información Pública, la Ley Federal de Presupuesto y Responsabilidad Hacendaria, la Ley General de Responsabilidades Administrativas, la Ley de Fiscalización y Rendición de Cuentas de la Federación y demás disposiciones aplicables;",[Art.64 · high · establecida_en] Artículo 64 Bis. Son faltas administrativas graves las violaciones a las disposiciones sobre fideicomisos establecidas en la Ley Federal de Austeridad Republicana. Artículo adicionado DOF 19-11-2019
codigo-de-comercio,CÓDIGO de Comercio,CCom,ley-general-de-titulos-y-operaciones-de-credito,LEY General de Títulos y Operaciones de Crédito,LGTOC,comercio,financiero,False,3,2,"[Art.75 · medium · direct_mention] ;  XXIII.- La enajenación que el propietario o el cultivador hagan de los productos de su finca o de su cultivo;  XXIV. Las operaciones contenidas en la Ley General de Títulos y Operaciones de Crédito; Fracción adicionada DOF 23-05-2000  XXV.- Cualesquiera otros actos de naturaleza análoga a los exp ||| [Art.1399 · medium · direct_mention] oponiendo únicamente las excepciones que permite la ley en el artículo 1403 de este Código, y tratándose de títulos de crédito las del artículo 8 de la Ley General de Títulos y Operaciones de Crédito, y en el mismo escrito ofrecerá pruebas, relacionándolas con los hechos y acompañando los documentos ||| [Art.1414 · medium · direct_mention] sin transmisión de posesión, o bien, mediante fideicomiso de garantía en que no se hubiere convenido el procedimiento previsto en el artículo 403 de la Ley General de Títulos y Operaciones de Crédito. Párrafo reformado DOF 13-06-2003  Para que el juicio se siga de acuerdo con las disposiciones de es","[Art.221 · high · lo_dispuesto] as de menor denominación emitidas.  En lo no previsto por esta ley, o por el acta de emisión, será aplicable a la asamblea general de obligacionistas lo dispuesto por el Código de Comercio respecto a las asambleas de accionistas de las sociedades anónimas. ||| [Art.427 · high · lo_dispuesto] señale en los documentos en que consten los derechos de crédito objeto de los contratos de factoraje. En cuanto al lugar de notificación, se estará a lo dispuesto en el Código de Comercio cuando la notificación se realice por medio de mensaje de datos en términos de dicho ordenamiento.  En el caso d"
codigo-fiscal-de-la-federacion,CÓDIGO Fiscal de la Federación,CFF,ley-de-tesoreria-de-la-federacion,LEY de Tesorería de la Federación,LTF,fiscal,fiscal,True,3,2,"[Art.66-A · medium · direct_mention] r el contribuyente en su solicitud de autorización de pago a plazos y la tasa mensual de recargos por prórroga que incluye actualización de acuerdo a la Ley de Ingresos de la Federación vigente en la fecha de la solicitud de autorización de pago a plazos en parcialidades.  Cuando no se paguen oportu ||| [Art.69-B · medium · direct_mention] días siguientes a la publicación del listado a que se refiere este artículo, podrán aplicar las tasas de recargos por prórroga determinada conforme a la Ley de Ingresos de la Federación por el plazo que corresponda.  Transcurrido el plazo a que se refiere el párrafo anterior, cuando el contribuyente ||| [Art.70-A · medium · direct_mention] ucirán el monto de las multas por infracción a las disposiciones fiscales en 100% y aplicarán la tasa de recargos por prórroga determinada conforme a la Ley de Ingresos de la Federación por el plazo que corresponda.  La reducción de la multa y la aplicación de la tasa de recargos a que se refiere es","[Art.13 · high · conformidad] nvenios de colaboración administrativa en materia fiscal federal para llevar a cabo su cobro, a través del procedimiento administrativo de ejecución, de conformidad con el Código Fiscal de la Federación y demás disposiciones jurídicas aplicables. ||| [Art.44 · high · prevista_en] ejecución y cobrar créditos fiscales federales.  La garantía del interés fiscal deberá constituirse en los casos y con las formalidades y requisitos previstos en el Código Fiscal de la Federación.  Las garantías que para asegurar el interés fiscal expidan las instituciones de fianzas o de seguros au"
codigo-nacional-de-procedimientos-civiles-y-familiares,CÓDIGO Nacional de Procedimientos Civiles y Familiares,CNPCF,ley-general-de-mecanismos-alternativos-de-solucion-de-controversias,LEY General de Mecanismos Alternativos de Solución de Controversias,LGMASC,penal,social,False,1,4,"[Art.470 · high · prevista_en] de la materia de cada Entidad Federativa;  VIII.	Los convenios emanados del procedimiento de mediación o conciliación que cumplan con los requisitos previstos en la Ley de mecanismos alternativos de solución de controversias o de justicia alternativa respectiva, y  IX.	Los demás a los que se les rec","[Art.30 · high · lo_dispuesto] de sus funciones, en todos los casos, las personas facilitadoras deberán llevar a cabo los ajustes de procedimiento que se requieran, en términos de lo dispuesto por el Código Nacional de Procedimientos Civiles y Familiares. ||| [Art.1 · medium · direct_mention] artículos 17 y 73 fracción XXIX-A, de la Constitución Política de los Estados Unidos Mexicanos.  En todo lo no previsto por esta Ley, será aplicable el Código Nacional de Procedimientos Civiles y Familiares. ||| [Art.4 · medium · direct_mention] rídica, con la participación de una persona tercera llamada árbitro quien dicta un laudo conforme a las normas establecidas en el Código de Comercio, el Código Nacional de Procedimientos Civiles y Familiares, y los Tratados Internacionales de los que el Estado mexicano sea parte, según proceda."
codigo-nacional-de-procedimientos-penales,CÓDIGO Nacional de Procedimientos Penales,CNPP,codigo-penal-federal,CÓDIGO Penal Federal,CPF,penal,penal,True,2,3,"[Art.167 · high · prevista_en] ca de los Estados Unidos Mexicanos. Párrafo reformado DOF 19-02-2021, 28-11-2025  Se consideran delitos que ameritan prisión preventiva oficiosa, los previstos en el Código Penal Federal, de la manera siguiente: Párrafo reformado DOF 08-11-2019  I.	Homicidio doloso previsto en los artículos 302 en r ||| [Art.218 · high · lo_dispuesto] ión de un criterio de oportunidad, siempre que haya transcurrido un plazo igual al de prescripción de los delitos de que se trate, de conformidad con lo dispuesto en el Código Penal Federal o estatal correspondiente, sin que pueda ser menor de tres años, ni mayor de doce años, contado a partir de qu","[Art.34 · medium · direct_mention] ano jurisdiccional en su caso, los datos de prueba que tengan para demostrar la procedencia y monto de dicha reparación, en los términos que prevenga el Código Nacional de Procedimientos Penales. Párrafo reformado DOF 10-01-1994, 17-06-2016  El incumplimiento por parte de las autoridades de la oblig ||| [Art.168 · medium · direct_mention] ncia el primer párrafo del artículo 190 Bis de la Ley Federal de Telecomunicaciones y Radiodifusión, serán asegurados en términos de lo que establece el Código Nacional de Procedimientos Penales y posteriormente deberán ser destruidos en su totalidad.  Si el delito al que se refiere el primer párraf ||| [Art.225 · medium · direct_mention] os casos previstos por la ley, no darle a conocer el delito que se le atribuye o no realizar el descubrimiento probatorio conforme a lo que establece el Código Nacional de Procedimientos Penales; Fracción derogada DOF 17-06-2016. Adicionada DOF 18-07-2016  XIV. Prolongar la prisión preventiva por má"
codigo-penal-federal,CÓDIGO Penal Federal,CPF,ley-general-de-salud,LEY General de Salud,LGS,penal,salud,False,4,1,"[Art.194 · high · en_los_terminos] 20-08-2009  El comercio y suministro de narcóticos podrán ser investigados, perseguidos y, en su caso sancionados por las autoridades del fuero común en los términos de la Ley General de Salud, cuando se colmen los supuestos del artículo 474 de dicho ordenamiento. Párrafo adicionado DOF 20-08-2009   ||| [Art.195 · high · en_los_terminos] 194, ambos de este código.  La posesión de narcóticos podrá ser investigada, perseguida y, en su caso sancionada por las autoridades del fuero común en los términos de la Ley General de Salud, cuando se colmen los supuestos del artículo 474 de dicho ordenamiento.  Cuando el inculpado posea alguno de ||| [Art.11 · medium · direct_mention] Tráfico de personas, previsto en el artículo 159, de la Ley de Migración;  III. Tráfico de órganos, previsto en los artículos 461, 462 y 462 Bis, de la Ley General de Salud;  IV. Trata de personas, previsto en los artículos 10 al 38 de la Ley General para Prevenir, Sancionar y Erradicar los delitos ","[Art.474 · high · conformidad] Público del fuero común la remisión de la investigación.  La autoridad federal conocerá de los casos previstos en las fracciones II y III anteriores, de conformidad con el Código Penal Federal y demás disposiciones aplicables. En los casos de la fracción IV de este artículo se aplicará este capítulo"
codigo-penal-federal,CÓDIGO Penal Federal,CPF,ley-federal-para-la-prevencion-e-identificacion-de-operaciones-con-recursos-de-procedencia-ilicita,LEY Federal para la Prevención e Identificación de Operaciones con Recursos de Procedencia Ilícita,LFPIORPI,penal,financiero,False,4,1,"[Art.140 · high · a_que_refiere] ndo los actos de sabotaje se realicen en los ductos, equipos, instalaciones o activos, de asignatarios, contratistas, permisionarios o distribuidores a que se refiere la Ley Federal para Prevenir y Sancionar los Delitos Cometidos en Materia de Hidrocarburos. Párrafo adicionado DOF 12-01-2016 Artícul ||| [Art.241 · high · a_que_refiere] evisto en la fracción I, se aumentará hasta en una mitad, cuando se falsifiquen sellos de asignatarios, contratistas, permisionarios o distribuidores a que se refiere la Ley Federal para Prevenir y Sancionar los Delitos Cometidos en Materia de Hidrocarburos. Párrafo adicionado DOF 12-01-2016 ||| [Art.243 · high · a_que_refiere] n el primer párrafo, se aumentará hasta en una mitad, cuando se falsifiquen documentos de asignatarios, contratistas, permisionarios o distribuidores a que se refiere la Ley Federal para Prevenir y Sancionar los Delitos Cometidos en Materia de Hidrocarburos. Párrafo adicionado DOF 12-01-2016 Artícul","[Art.8 · high · conformidad] cedencia ilícita;  IX. Conducir la investigación para la obtención de indicios o pruebas vinculadas a operaciones con recursos de procedencia ilícita de conformidad con el Código Penal Federal, y coadyuvar con la Unidad Especializada en materia de Delincuencia Organizada cuando se trate de investiga"
ley-de-aguas-nacionales,LEY de Aguas Nacionales,LAN,ley-de-geotermia,LEY de Geotermia,LGEO,ambiental,energia,False,3,2,"[Art.3 · medium · direct_mention] guas nacionales delimitado por la cota de la creciente máxima ordinaria;  LXI BIS. Yacimiento geotérmico hidrotermal: Aquel definido en términos de la Ley de Energía Geotérmica; Fracción adicionada DOF 11-08-2014  LXII. ""Zona de Protección"": La faja de terreno inmediata a las presas, estructuras h ||| [Art.81 · medium · direct_mention] , la dependencia ante la cual se realizarán los trámites relativos a su otorgamiento y modificación, será la que señala el artículo 2 fracción XVI de la Ley de Energía Geotérmica.  Como parte de los requisitos que establece la Ley de Geotermia y su Reglamento para el otorgamiento de concesiones de a ||| [Art.81 · medium · direct_mention] reservas, respectivas.  La Comisión otorgará a la persona solicitante, a través de la dependencia a que la alude la fracción XIV del artículo 2 de la Ley de Geotermia, la concesión de agua correspondiente sobre el volumen de agua solicitado por la interesada y establecerá un programa de monitoreo ","[Art.6 · high · lo_dispuesto] Artículo 6.- Tratándose de aguas diferentes al Agua Geotérmica, se está a lo dispuesto en la Ley de Aguas Nacionales. Lo anterior, es aplicable al agua del subsuelo en cualquier estado, cuando se trata de su manejo en superficie e introducción al Yacimiento Geotérmi ||| [Art.53 · medium · direct_mention] e los Yacimientos Geotérmicos, los trámites para el otorgamiento de la concesión de aguas requerida en términos de lo dispuesto por el artículo 81 de la Ley de Aguas Nacionales, deben realizarse por la persona solicitante ante la Secretaría, la cual debe verificar el debido cumplimiento de estos.  U"
ley-de-amparo-reglamentaria-de-los-articulos-103-y-107-de-la-constitucion-politica-de-los-estados-unidos-mexicanos,"LEY de Amparo, Reglamentaria de los artículos 103 y 107 de la Constitución Política de los Estados Unidos Mexicanos",LAmp,ley-reglamentaria-de-las-fracciones-i-y-ii-del-articulo-105-de-la-constitucion-politica-de-los-estados-unidos-mexicanos,LEY Reglamentaria de las Fracciones I y II del Artículo 105 de la Constitución Política de los Estados Unidos Mexicanos,LRFIYII_ART105,judicial,judicial,True,2,3,"[Art.61 · high · lo_dispuesto] itido una declaratoria general de inconstitucionalidad en términos de lo dispuesto por el Capítulo VI del Título Cuarto de esta Ley, o en términos de lo dispuesto por la Ley Reglamentaria de las Fracciones I y II del Artículo 105 de la Constitución Política de los Estados Unidos Mexicanos;  IX. Cont ||| [Art.210 · high · lo_dispuesto] ey.  El procedimiento establecido en el presente artículo será aplicable a los casos en que la declaratoria general de inconstitucionalidad derive de lo dispuesto por la Ley Reglamentaria de las Fracciones I y II del Artículo 105 de la Constitución Política de los Estados Unidos Mexicanos.  CAPÍTULO","[Art.37 · medium · direct_mention] as normas impugnadas en unos y otra fueren las mismas. En este supuesto, no correrá el término de caducidad previsto en el artículo 74, fracción V de la Ley de Amparo. Artículo reformado DOF 03-04-2025 ||| [Art.47 · medium · direct_mention] z de una norma general, se vea afectada con su aplicación, podrá denunciar dicho acto de conformidad con el procedimiento previsto para tal efecto en la Ley de Amparo, Reglamentaria de los artículos 103 y 107 de la Constitución Política de los Estados Unidos Mexicanos. Párrafo adicionado DOF 02-04-2 ||| [Art.72 · medium · direct_mention] aplicara la norma general declarada inválida, el afectado podrá denunciar dicho acto de conformidad con el procedimiento previsto para tal efecto en la Ley de Amparo, Reglamentaria de los artículos 103 y 107 de la Constitución Política de los Estados Unidos Mexicanos. Párrafo adicionado DOF 02-04-20"
ley-de-biocombustibles,LEY de Biocombustibles,LBIO,ley-de-planeacion-y-transicion-energetica,LEY de Planeación y Transición Energética,LPTE,energia,administrativo,False,2,3,"[Art.2 · high · establecida_en] culo 2.- Para efectos de la interpretación y aplicación de la presente Ley, se deben entender los conceptos y las definiciones, en singular o plural, establecidos en la Ley de Planeación y Transición Energética, la Ley del Sector Hidrocarburos, la Ley General para la Prevención y Gestión Integral de ||| [Art.3 · medium · direct_mention] Artículo 3.- En todo lo no previsto en la presente Ley, se deben aplicar las disposiciones contenidas en la Ley de Planeación y Transición Energética, la Ley del Sector Eléctrico, la Ley del Sector Hidrocarburos, la Ley General del Equilibrio Ecológico y la Protección al Ambiente, la Ley General pa","[Art.3 · high · establecida_en] materia de electricidad e hidrocarburos reguladas en la Ley del Sector Eléctrico y la Ley del Sector Hidrocarburos respectivamente, así como aquellas establecidas en la Ley de Biocombustibles y de la Ley de Geotermia, y cualquier otra que correspondan a la Secretaría y sus organismos sectorizados, d ||| [Art.3 · medium · direct_mention] se deben entender los conceptos y las definiciones, en singular o plural, previstas en la Ley del Sector Eléctrico, la Ley del Sector Hidrocarburos, la Ley de Biocombustibles, la Ley de Geotermia y en las siguientes definiciones: I.	Aprovechamiento Sustentable de la Energía: El uso óptimo de la ener ||| [Art.5 · medium · direct_mention] la presente Ley, se deben aplicar de manera supletoria las disposiciones contenidas en la Ley del Sector Eléctrico, la Ley del Sector Hidrocarburos, la Ley de Biocombustibles, la Ley de Geotermia y la Ley Federal del Procedimiento Administrativo. TÍTULO SEGUNDO De la Planeación del Sector Energético"
ley-de-bioseguridad-de-organismos-geneticamente-modificados,LEY de Bioseguridad de Organismos Genéticamente Modificados,LBOGM,ley-general-en-materia-de-humanidades-ciencias-tecnologias-e-innovacion,"LEY General en materia de Humanidades, Ciencias, Tecnologías e Innovación",LGMHCTI,salud,educacion,False,4,1,"[Art.20 · high · prevista_en] jo Consultivo Científico se realizará mediante convocatoria pública que emitan conjuntamente el CONACyT y el Foro Consultivo Científico y Tecnológico previsto en la Ley de Ciencia y Tecnología, garantizando el principio de paridad de género. Entre las funciones del Consejo Consultivo se preverá la f ||| [Art.28 · medium · direct_mention] ión científica y tecnológica en materia de bioseguridad y de biotecnología a través de las políticas y los instrumentos establecidos en esta Ley y en la Ley de Ciencia y Tecnología. En materia de biotecnología, estos apoyos se orientarán a impulsar proyectos de investigación y desarrollo e innovació ||| [Art.29 · medium · direct_mention] Foro Consultivo Científico y Tecnológico, y de la CIBIOGEM.  Dicho programa formará parte del Programa Especial de Ciencia y Tecnología que establece la Ley de Ciencia y Tecnología.","[Art.17 · high · a_que_refiere] años;  V.	El Programa Nacional de Innovación al que se refiere esta Ley, y  VI.	El Programa para el Desarrollo de la Bioseguridad y la Biotecnología a que se refiere la Ley de Bioseguridad de Organismos Genéticamente Modificados.  Sección Segunda De los Programas de las Entidades Federativas"
ley-de-los-sistemas-de-ahorro-para-el-retiro,LEY de los Sistemas de Ahorro para el Retiro,LSAR,ley-del-instituto-del-fondo-nacional-de-la-vivienda-para-los-trabajadores,LEY del Instituto del Fondo Nacional de la Vivienda para los Trabajadores,LINFONAVIT,financiero,vivienda,False,1,4,"[Art.74 · high · lo_dispuesto] Asimismo, la subcuenta referida en la fracción I se regirá por lo dispuesto en la Ley del Seguro Social y la prevista en la fracción II se regirá por lo dispuesto en la Ley del Instituto del Fondo Nacional de la Vivienda para los Trabajadores.  Asimismo, los trabajadores afiliados podrán solicitar a","[Art.38 · high · en_los_terminos] sas operadoras de la Base de Datos Nacional SAR proporcionarán al Instituto la información correspondiente a las aportaciones y descuentos realizados en los términos de la Ley de los Sistemas de Ahorro para el Retiro y su Reglamento, así como toda aquélla necesaria para el cumplimiento de sus fines. ||| [Art.38 · high · lo_dispuesto] Ley correspondiente.  La documentación y demás características de estas cuentas no previstas en esta Ley y en la Ley del Seguro Social se sujetarán a lo dispuesto por la Ley de los Sistemas de Ahorro para el Retiro. Artículo reformado DOF 24-02-1992, 22-07-1994, 06-01-1997 ||| [Art.29 · medium · direct_mention] duales de los sistemas de ahorro para el retiro, estará a cargo de las administradoras de fondos para el retiro, en los términos que se establecen en la Ley de los Sistemas de Ahorro para el Retiro y su Reglamento. Lo anterior, independientemente de los registros individuales que determine llevar el"
ley-general-de-salud,LEY General de Salud,LGS,ley-general-para-la-deteccion-oportuna-del-cancer-en-la-infancia-y-la-adolescencia,LEY General para la Detección Oportuna del Cáncer en la Infancia y la Adolescencia,LGDOCIA,salud,salud,True,1,4,"[Art.161 · medium · direct_mention] ecretaría.  VI.	El Registro contará adicionalmente, con un rubro específico para la información a que se refiere el Capítulo II del Título Tercero de la Ley General para la Detención Oportuna del Cáncer en la Infancia y la Adolescencia. Fracción adicionada DOF 07-01-2021  La Secretaría integrará la ","[Art.29 · high · a_que_refiere] Artículo 29.- Se crea el Registro Nacional de Cáncer en la Infancia y Adolescencia como un rubro específico dentro del Registro Nacional de Cáncer a que se refiere la Ley General de Salud, con el propósito de llevar en tiempo real, el registro sobre el diagnóstico, seguimiento y evolución del tratam ||| [Art.7 · medium · direct_mention] ca integrada, desde la promoción, prevención, acciones curativas, paliativas y de rehabilitación, incluyendo la atención de urgencias, en términos de la Ley General de Salud y la Ley General de los Derechos de Niñas, Niños y Adolescentes. En particular tienen derecho a recibir diagnóstico y tratamie ||| [Art.7 · medium · direct_mention] vicios de apoyo psicosocial de acuerdo con sus necesidades;  V.	Acceder a las prestaciones de los servicios de salud correspondientes, en términos de la Ley General de Salud, con el fin de realizar los exámenes paraclínicos que corroboren el diagnóstico;  VI.	Contar, a partir del momento en que se t"
ley-organica-del-congreso-general-de-los-estados-unidos-mexicanos,LEY Orgánica del Congreso General de los Estados Unidos Mexicanos,LOCG,reglamento-de-la-camara-de-diputados,REGLAMENTO de la Cámara de Diputados,REG_DIPUTADOS,administrativo,administrativo,True,2,3,"[Art.34 · medium · direct_mention] en los términos establecidos en la Constitución Política de los Estados Unidos Mexicanos, las leyes que regulan dichos organismos, la presente ley y el Reglamento de la Cámara de Diputados, así como los procedimientos que de ellas se deriven, con el consenso de los respectivos grupos parlamentarios; ||| [Art.57 · medium · direct_mention] al Pleno la propuesta a que se refiere el inciso anterior, y se procederá a su discusión y votación en los términos que establezca la presente Ley y el Reglamento de la Cámara de Diputados;  k) Aprobado el dictamen, cuando así lo acuerde el Presidente, el candidato cuyo nombramiento se apruebe en lo","[Art.2 · medium · direct_mention] ta: La Junta de Coordinación Política de la Cámara de Diputados;  IX. Junta Directiva: La Mesa Directiva de las comisiones y de los comités;  X. Ley: La Ley Orgánica del Congreso General de los Estados Unidos Mexicanos;  XI. Mesa Directiva: La Mesa Directiva de la Cámara de Diputados;  XII.	Presiden ||| [Art.284 · medium · direct_mention] midad con los derechos, prerrogativas, facultades, atribuciones y obligaciones previstas en la Constitución Política de los Estados Unidos Mexicanos, la Ley Orgánica del Congreso General de los Estados Unidos Mexicanos, en este Reglamento y demás disposiciones aplicables. Artículo adicionado DOF 08- ||| [Art.290 · medium · direct_mention] 1. Las funciones de la Cámara de Diputados en modalidad semipresencial serán reguladas por la Constitución Política de los Estados Unidos Mexicanos, la Ley Orgánica del Congreso General de los Estados Unidos Mexicanos y por este Reglamento. También serán aplicables de manera supletoria los acuerdos "
codigo-fiscal-de-la-federacion,CÓDIGO Fiscal de la Federación,CFF,ley-general-de-organizaciones-y-actividades-auxiliares-del-credito,LEY General de Organizaciones y Actividades Auxiliares del Crédito,LGOAAC,fiscal,financiero,False,1,3,"[Art.32-C · medium · direct_mention] ondiente. La notificación se realizará por cualquiera de los medios previstos en el caso de empresas de factoraje financiero, por el artículo 45-K de la Ley General de Organizaciones y Actividades Auxiliares del Crédito, y en el caso de sociedades financieras de objeto múltiple, por el artículo 427 ","[Art.8o · high · lo_dispuesto] amplios conocimientos y experiencia en materia financiera, contable, legal o administrativa y, ser residentes en territorio mexicano, en términos de lo dispuesto por el Código Fiscal de la Federación. No podrán ser comisarios propietarios o suplentes de las organizaciones auxiliares del crédito y ca ||| [Art.79 · high · lo_dispuesto] as físicas, el nombramiento deberá recaer en una persona que reúna los requisitos siguientes:  a)	Ser residente en territorio nacional en términos de lo dispuesto por el Código Fiscal de la Federación.  b)	Estar inscrita en el registro que lleva el Instituto Federal de Especialistas de Concursos Mer"
codigo-penal-federal,CÓDIGO Penal Federal,CPF,ley-federal-de-armas-de-fuego-y-explosivos,LEY Federal de Armas de Fuego y Explosivos,LFAFE,penal,penal,True,3,1,"[Art.163 · high · regulada_por] a distancia para el transporte de artefactos explosivos, artefactos explosivos improvisados, armas, narcóticos, drogas sintéticas o demás materiales regulados en la Ley Federal de Armas de Fuego y Explosivos. Artículo adicionado DOF 07-06-2024 ||| [Art.11 · medium · direct_mention] o 424 Bis;  B. De los delitos establecidos en los siguientes ordenamientos:  I. Acopio y tráfico de armas, previstos en los artículos 83 Bis y 84, de la Ley Federal de Armas de Fuego y Explosivos;  II. Tráfico de personas, previsto en el artículo 159, de la Ley de Migración;  III. Tráfico de órganos ||| [Art.160 · medium · direct_mention] la reglamentación de las leyes respectivas.  Estos delitos, cuyo conocimiento compete al fuero común, se sancionarán sin perjuicio de lo previsto por la Ley Federal de Armas de Fuego y Explosivos, de aplicación federal en lo que conciernen a estos objetos. Artículo reformado DOF 15-01-1951, 13-01-19","[Art.12 · high · prevista_en] Artículo 12.- Son armas prohibidas, para los efectos de esta Ley, las previstas en el Código Penal Federal o los códigos de las entidades federativas. Artículo reformado DOF 23-12-1974, 08-02-1985, 29-05-2025"
ley-aduanera,LEY Aduanera,LA,ley-federal-de-derechos,LEY Federal de Derechos,LFD,comercio-exterior,propiedad-intelectual,False,1,3,"[Art.121 · medium · direct_mention] que se ha efectuado el pago del derecho por el otorgamiento de la autorización del establecimiento respectivo, conforme al Artículo 40, inciso k) de la Ley Federal de Derechos.  g) Cumplir con los mecanismos de control de ventas y entrega de mercancías que se establezcan mediante reglas.  h) Cumplir","[Art.40 · high · a_que_refiere] u caso colocar marbetes o precintos $4,723.17 Inciso adicionado DOF 09-12-2019  t).	Por la autorización para la fabricación o importación de candados a que se refiere la Ley Aduanera $2,159.28 Inciso adicionado DOF 09-12-2019  u).	Por la autorización para prestar los servicios de despacho aduanero d ||| [Art.49 · high · en_los_terminos] pagará el derecho de trámite aduanero, por las operaciones aduaneras que se efectúen utilizando un pedimento o el documento aduanero correspondiente en los términos de la Ley Aduanera, conforme a las siguientes tasas o cuotas: Párrafo reformado DOF 30-12-1996  I.	Del 8 al millar, sobre el valor que  ||| [Art.52 · high · establecida_en] ento de las obligaciones aduaneras, relativas a mercancías estériles, radioactivas o peligrosas, o bien, a consultas sobre clasificación arancelaria, establecidas en la Ley Aduanera, se pagarán por cada muestra analizada, la cuota de: $5,849.84 Artículo reformado DOF 01-01-2002, 01-12-2004  Sección "
ley-de-aeropuertos,LEY de Aeropuertos,LAERO,ley-de-aviacion-civil,LEY de Aviación Civil,LAC,mercantil,civil,False,3,1,"[Art.2 · medium · direct_mention] ros y operaciones de aeronaves para uso particular, incluyendo al taxi aéreo que reúna los requisitos y condiciones establecidas en el artículo 23 de la Ley de Aviación Civil. Lo anterior, de conformidad con las reglas y lineamientos que en su caso expida la Secretaría; Fracción adicionada DOF 26-01 ||| [Art.27 · medium · direct_mention] ral de Aviación Civil; Fracción reformada DOF 03-05-2023  V. Consentir el uso del aeropuerto a cualquier aeronave que no cumpla con los requisitos de la Ley de Aviación Civil, que no haya sido permitida por quien presta el servicio de navegación aérea, o que su acción u omisión dolosa contribuya a l ||| [Art.48 · medium · direct_mention] aviación privada no comercial y privada comercial, incluyendo al taxi aéreo que reúna los requisitos y condiciones establecidas en el artículo 23 de la Ley de Aviación Civil. Párrafo adicionado DOF 26-01-2015  Lo anterior, de conformidad con las reglas y lineamientos que, en su caso, expida la Secre","[Art.78 · high · a_que_refiere] Artículo 78 Nonies. La Secretaría coordinará al Comité Nacional de Seguridad de la Aviación Civil, a que se refiere la Ley de Aeropuertos, para que a través de la Agencia Federal de Aviación Civil ejecute sus funciones. Artículo adicionado DOF 03-05-2023"
ley-de-ahorro-y-credito-popular,LEY de Ahorro y Crédito Popular,LACP,ley-de-la-comision-nacional-bancaria-y-de-valores,LEY de la Comisión Nacional Bancaria y de Valores,LCNBV,financiero,financiero,True,1,3,"[Art.146 · medium · direct_mention] evisto en el reglamento expedido por el Ejecutivo Federal, en materia de supervisión, al amparo de lo establecido en el Artículo 5, primer párrafo de la Ley de la Comisión Nacional Bancaria y de Valores.  Para efectos de este capítulo, se entenderá por autoridades financieras a la Secretaría y a la ","[Art.3 · high · a_que_refiere] Cooperativas de Ahorro y Préstamo, integrantes del sector social. Fracción reformada DOF 01-06-2001, 13-08-2009  V.	Federaciones: a las federaciones a que se refiere la Ley de Ahorro y Crédito Popular. Fracción adicionada DOF 01-06-2001. Reformada DOF 13-08-2009  VI.	Fondo de protección: Al fondo de ||| [Art.4 · high · a_que_refiere] que se refiere la Ley para Regular las Actividades de las Sociedades Cooperativas de Ahorro y Préstamo; de las Federaciones y del fondo de protección a que se refiere la Ley de Ahorro y Crédito Popular, así como de las personas físicas y demás personas morales cuando realicen actividades previstas e ||| [Art.18 · high · a_que_refiere] n a que se refiere la Ley para Regular las Actividades de las Sociedades Cooperativas de Ahorro y Préstamo; las federaciones y el fondo de protección a que se refiere la Ley de Ahorro y Crédito Popular; así como las demás personas físicas o morales, sujetas conforme a esta y otras Leyes a la supervi"
